ship_index,flight,campaign,location,location_type,location_label,date,year,name,type,year_built,age,tonnage,scrubber,variable,value,error,model,age_bin,tonnage_bin,group
1,c186,acruise1,PTO,Open Ocean,Portugese coast open waters,2019-07-16,2019,Hirado,crude oil tanker,2011,8,159800,FALSE,nox_co2,0.0086,9.46e-4,0.020588695,0-10,"100,001-200,000",Open Ocean
2,c183,acruise1,PTL,Open Ocean,Portugese coast shipping lane,2019-07-13,2019,Nordic Luebeck,container ship,2011,8,10300,FALSE,nox_co2,0.0104,0.001144,0.015015059,0-10,"10,000-50,000",Open Ocean
3,c183,acruise1,PTL,Open Ocean,Portugese coast shipping lane,2019-07-13,2019,Aegean Vision,crude oil tanker,2017,2,81300,FALSE,nox_co2,0.0111,0.001221,0.020193253,0-10,"50,001-100,000",Open Ocean
4,c183,acruise1,PTL,Open Ocean,Portugese coast shipping lane,2019-07-13,2019,MSC Emma,container ship,2011,8,141600,FALSE,nox_co2,0.0123,0.001353,0.020922801,0-10,"100,001-200,000",Open Ocean
5,c183,acruise1,PTL,Open Ocean,Portugese coast shipping lane,2019-07-13,2019,Tian Jin,crude oil tanker,2015,4,166200,FALSE,nox_co2,0.0158,0.001738,0.020546019,0-10,"100,001-200,000",Open Ocean
6,c183,acruise1,PTL,Open Ocean,Portugese coast shipping lane,2019-07-13,2019,Thor Future,bulk carrier,2006,13,54200,FALSE,nox_co2,0.0189,0.002079,0.02605606,11-20,"50,001-100,000",Open Ocean
7,c183,acruise1,PTL,Open Ocean,Portugese coast shipping lane,2019-07-13,2019,Hoegh Gallant,LNG tanker,2014,5,109800,FALSE,nox_co2,0.01905,0.0020955,0.00361159,0-10,"100,001-200,000",Open Ocean
8,c187,acruise1,PTL,Open Ocean,Portugese coast shipping lane,2019-07-16,2019,MSC Mirja,container ship,2016,3,194300,FALSE,nox_co2,0.01996,0.0021956,0.02043477,0-10,"100,001-200,000",Open Ocean
9,c181,acruise1,PTO,Open Ocean,Portugese coast open waters,2019-07-12,2019,Sti Beryl,oil chemical tanker,2013,6,50000,FALSE,nox_co2,0.021075,0.00231825,0.02067627,0-10,"10,000-50,000",Open Ocean
10,c188,acruise1,PTO,Open Ocean,Portugese coast open waters,2019-07-17,2019,Lake Superior,vehicles carrier,2007,12,46800,TRUE,nox_co2,0.0217,0.002387,0.025383062,11-20,"10,000-50,000",Open Ocean
11,c190,acruise1,EC,SECA,English Channel,2019-07-18,2019,MSC Mirja,container ship,2016,3,194300,FALSE,nox_co2,0.0227,0.002497,0.02043477,0-10,"100,001-200,000",Open Ocean
12,c179,acruise1,SW,Open Ocean,South West Approaches,2019-07-11,2019,Eagle Brisbane,crude oil tanker,2018,1,113400,FALSE,nox_co2,0.0237666666666667,0.00261433333333333,0.020296114,0-10,"100,001-200,000",Open Ocean
13,c182,acruise1,PTO,Open Ocean,Portugese coast open waters,2019-07-12,2019,Max Jacob,crude oil tanker,2000,19,81600,FALSE,nox_co2,0.024,0.00264,0.024535869,11-20,"50,001-100,000",Open Ocean
14,c179,acruise1,SW,Open Ocean,South West Approaches,2019-07-11,2019,Stena Horizon,ro-ro cargo,2006,13,27500,FALSE,nox_co2,0.0263,0.002893,0.018992508,11-20,"10,000-50,000",Open Ocean
15,c182,acruise1,PTO,Open Ocean,Portugese coast open waters,2019-07-12,2019,Bow Chain,oil chemical tanker,2002,17,23200,FALSE,nox_co2,0.0286,0.003146,0.02643652,11-20,"10,000-50,000",Open Ocean
16,c180,acruise1,SW,Open Ocean,South West Approaches,2019-07-11,2019,Marianna VV,crude oil tanker,2002,17,50200,FALSE,nox_co2,0.0298,0.003278,0.025468534,11-20,"50,001-100,000",Open Ocean
17,c183,acruise1,PTL,Open Ocean,Portugese coast shipping lane,2019-07-13,2019,CMA CGM Cayenne,container ship,2015,4,27300,FALSE,nox_co2,0.0412,0.004532,0.020202108,0-10,"10,000-50,000",Open Ocean
1,c251,acruise2,BB,Open Ocean,Bay of Biscay,2019-09-24,2019,Ardmore Defender,oil chemical tanker,2015,4,23702,TRUE,sfc,0.00182252426158746,0.0144904190448911,0.416,0-10,"10,000-50,000",Ocean 2019
2,c251,acruise2,BB,Open Ocean,Bay of Biscay,2019-09-24,2019,Indi,general cargp,2009,10,2545,TRUE,sfc,0.00182252426158746,0.0144904190448911,0.415,0-10,<10000,Ocean 2019
3,c251,acruise2,BB,Open Ocean,Bay of Biscay,2019-09-24,2019,Maersk Stratus,oil chemical tanker,2017,2,28137,FALSE,sfc,0.00182252426158746,0.0144904190448911,0.484,0-10,"10,000-50,000",Ocean 2019
4,c251,acruise2,BB,Open Ocean,Bay of Biscay,2019-09-24,2019,Silver London,oil chemical tanker,2014,5,29553,TRUE,sfc,0.00182252426158746,0.0144904190448911,0.129,0-10,"10,000-50,000",Ocean 2019
5,c190,acruise1,EC,SECA,English Channel,2019-07-18,2019,MSC Mirja,container ship,2016,3,194300,FALSE,sfc,0.0548887941387537,0.158531329198817,2.1435369,0-10,"100,001-200,000",SECA 2021-2023
