year,variable,n_all,n,sd,se,level,mean,lower,upper
2014,so2,8,8,0.3092350415653936,0.10933109743569684,0.95,0.209244925,-0.04928203944970236,0.4677718894497024
2015,so2,12,12,0.03192093135647,0.00921477915572076,0.95,0.06932509166666666,0.049043499491403506,0.08960668384192981
2016,so2,12,12,0.02924414854926952,0.00844205851857108,0.95,0.05198049166666666,0.03339964614666651,0.07056133718666682
2017,so2,12,10,0.021514942821383182,0.006803622304386007,0.95,0.044733319,0.029342456071159564,0.060124181928840434
2018,so2,12,9,0.023369996526588912,0.007789998842196304,0.95,0.056905955555555554,0.038942186012215205,0.0748697250988959
2019,so2,12,12,0.030553613214176288,0.008820068406960193,0.95,0.044552168333333336,0.025139328658620848,0.06396500800804583
2020,so2,12,12,0.02293300855670701,0.006620189331771393,0.95,0.02958793833333333,0.015016999857107517,0.04415887680955914
2021,so2,12,12,0.012003070049228282,0.003464987862011942,0.95,0.015809140833333336,0.008182753969147397,0.023435527697519276
2022,so2,12,11,0.009688727863594121,0.0029212613654003064,0.95,0.012992756909090908,0.006483780964036014,0.019501732854145803
2014,so2_sw,8,8,0.048533222955589546,0.01715908553236799,0.95,0.0673140375,0.026739247715007776,0.10788882728499224
2015,so2_sw,12,12,0.02361775026157689,0.006817857235587386,0.95,0.04261863166666666,0.027612629067515423,0.0576246342658179
2016,so2_sw,12,12,0.03007074814065146,0.00868067726686928,0.95,0.0403662325,0.02126019065607587,0.05947227434392413
2017,so2_sw,12,10,0.02140314790446853,0.006768269647558048,0.95,0.03078035,0.01546946033702688,0.04609123966297313
2018,so2_sw,12,9,0.025600372283073238,0.00853345742769108,0.95,0.05307657777777777,0.03339838966193344,0.0727547658936221
2019,so2_sw,12,12,0.028814593735352757,0.00831805672484781,0.95,0.031680584416666664,0.013372665004476175,0.04998850382885715
2020,so2_sw,12,12,0.016905413291379415,0.0048801724572698916,0.95,0.011830192500000001,0.0010890053428610248,0.022571379657138978
2021,so2_sw,12,12,0.011254520398682117,0.0032489001908896273,0.95,0.009447034916666666,0.0022962538098997027,0.01659781602343363
2022,so2_sw,12,11,0.007226977794838021,0.0021790157921552527,0.95,0.0026041027272727274,-0.0022510470183200386,0.007459252472865493
